smiles,value,target_id
C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,-0.041812915747320926,[5]
CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,0.02718154489044407,[5]
CNCCCN1c2ccccc2CCc2ccccc21,0.2198305294051371,[5]
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,0.8482745107265232,[5]
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,0.06235646367789819,[5]
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.7126558637676983,[5]
CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0.265324080173406,[5]
CN(C)CCCN1c2ccccc2Sc2ccccc21,0.06041308511501321,[5]
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,0.012676885211184222,[5]
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,0.42202787013423926,[5]
CC[C@]12C=CCN3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,1.1908852864060093,[5]
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,0.053157675013299946,[5]
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,-0.022243090630065594,[5]
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1.065990076955088,[5]
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0.2762911772592959,[5]
CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,-0.05254952966823685,[5]
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,0.04758937820900131,[5]
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,-0.037427127377101244,[5]
CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,-0.040995223110693806,[5]
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.023966661494515772,[5]
CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.5615727457957185,[5]
OCCN(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(O)=NO)cc1,0.8667819474122572,[5]
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,0.2129062339496328,[5]
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0.9759141887929706,[5]
C[C@H]1CNCCc2ccc(Cl)cc21,-0.017382801048900696,[5]
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)C(C(=O)CO)CC[C@@H]12,0.10557910166554296,[5]
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,0.12221425351677097,[5]
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,1.032023170183092,[5]
C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,2.118833066144804,[5]
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.03745474130409727,[5]
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1CC1C[C@H]3C(N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O,0.2851141746433915,[5]
CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,0.2774116568303716,[5]
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.044243723497710066,[5]
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.9147678480469681,[5]
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,0.4858106008330695,[5]
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.08781706149219838,[5]
Cc1cccc(C)c1OCC(C)N,0.09447835680694945,[5]
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1.8799325452609197,[5]
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,1.252503324651447,[5]
