smiles,value,target_id
Cn1c([S+](C)[O-])nc(-c2ccc(F)cc2)c1-c1ccnc(N)c1,[0.5],[3]
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,[0.49],[3]
CC(C)[C@@H]1NC(=O)CC/C=C/c2cc3cc(ccc3cn2)[C@@H](C)OC(=O)[C@@H]2CCCN(N2)C(=O)[C@H](C)NC1=O,[0.12],[3]
CN1CCN(c2nc(N)nc3c2CCc2ccccc2-3)CC1,[0.22],[3]
NC(=O)n1cc(NC(=O)N2[C@H](C(=O)Nc3cccc(C(F)(F)F)c3F)C[C@H]3C[C@H]32)c2ccccc21,[0.01],[3]
CCCc1cc(C(=O)N[C@H](Cc2ccc(-c3cccc(OC(F)(F)F)c3)nc2)C(=O)NCCN(C)C)sc1C,[0.01],[3]
COC(=O)c1ccccc1-c1c2ccc(=N)cc-2oc2cc(N)ccc12,[0.23400632],[3]
Cn1nc(C2CC2)c2ccc(Nc3n[nH]c4cccnc34)cc21,[0.022],[3]
COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,[0.002],[3]
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,[0.03],[3]
COc1cccc(CNC(=O)c2cc(-c3nnn(C[C@H]4CO[C@H](CO)CO4)n3)cc(C)n2)c1,[0.14],[3]
Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2C#N)n(C)c1=O,[0.27],[3]
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,[0.0538186109999999],[3]
Cc1nn(C)c2cc(Nc3n[nH]c4cccnc34)ccc12,[0.0579999999999999],[3]
COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,[0.15],[3]
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,[0.41],[3]
O=C(O)COc1ccc(Cl)cc1C#Cc1ccc2c(c1)S(=O)(=O)c1ccccc1-2,[0.001],[3]
N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,[0.032],[3]
Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,[0.067],[3]
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,[0.510381604],[3]
O=C1CSCCN1c1ccc(CO[C@@H]2COc3nc([N+](=O)[O-])cn3C2)cc1F,[0.2239999999999999],[3]
